Distance, Theta
10.933698, -0.034263
11.108457, -0.026011
11.105637, -0.033831
11.125367, -0.042338
11.060539, -0.039594
11.376232, -0.033040
10.905511, -0.035117
11.305765, -0.038279
10.916785, -0.038008
11.407237, -0.036085
11.021077, -0.034224
11.277577, -0.033223
10.812494, -0.036327
11.190198, -0.036367
11.001347, -0.029053
11.302946, -0.029810
11.201473, -0.040520
10.944973, -0.048780
11.336771, -0.040554
10.846318, -0.032892
11.207110, -0.032097
11.052082, -0.039017
11.125368, -0.033027
11.207109, -0.028782
10.806856, -0.031611
11.333951, -0.033474
10.809675, -0.035748
11.271940, -0.033645
11.057720, -0.038486
11.331132, -0.039787
11.032351, -0.039003
11.277577, -0.037530
10.913966, -0.034563
11.356500, -0.033328
11.046444, -0.039636
10.956246, -0.042913
11.333950, -0.035938
10.846318, -0.027844
11.193017, -0.036051
11.085907, -0.042703
11.325495, -0.035711
10.874504, -0.032068
11.263484, -0.031204
10.891418, -0.029727
11.224022, -0.034144
11.049264, -0.032590
11.381869, -0.030197
10.967522, -0.027986
11.255028, -0.025970
10.818131, -0.022018
11.266303, -0.013396
10.961884, -0.007949
11.226841, -0.007145
10.998527, -0.009136
11.280396, 0.001388
10.832225, 0.009084
11.209929, 0.006402
11.026714, 0.007646
11.336770, 0.010745
10.846317, 0.017306
11.356502, 0.024006
10.950610, 0.021031
11.283215, 0.019126
11.068995, 0.020131
11.297308, 0.028980
10.978796, 0.029052
11.415694, 0.026296
10.677197, 0.027423
11.238115, 0.021489
10.975978, 0.018268
11.393144, 0.010209
10.888598, 0.005671
11.170467, 0.009310
10.846317, 0.004431
11.111275, 0.008369
11.294490, 0.002715
10.888598, -0.001286
11.286034, 0.001173
10.550355, -0.002616
11.071814, -0.016220
11.139462, -0.019482
11.136643, -0.015081
11.322676, -0.019475
